,GRE_Q_V,Status,GPA,GRE_AW
0,,Rejected,,
1,,Accepted,4.00,
2,,Rejected,,
3,,Accepted,3.00,
4,,Accepted,,
5,,Rejected,,
6,,Accepted,3.92,
7,334.0,Rejected,3.90,3.5
8,,Rejected,,
9,,Rejected,,
10,,Rejected,,
11,,Accepted,,
12,,Rejected,3.40,
13,,Rejected,3.40,
14,,Rejected,3.40,
15,,Rejected,3.40,
16,,Rejected,3.40,
17,320.0,Interview,3.70,4.0
18,,Accepted,3.97,
19,,Rejected,,
20,,Wait,,
21,,Wait,3.77,
22,,Interview,,
23,,Wait,,
24,,Rejected,,
25,,Interview,,
26,,Accepted,,
27,,Accepted,3.90,
28,,Interview,,
29,330.0,Accepted,3.90,5.0
30,330.0,Accepted,3.90,5.0
31,,Interview,,
32,,Accepted,4.00,
33,,Accepted,,
34,,Accepted,3.70,
35,,Interview,,
36,,Rejected,3.69,
37,,Accepted,,
38,,Accepted,,
39,,Interview,,
40,,Accepted,3.96,
41,,Rejected,,
42,,Interview,,
43,,Rejected,3.92,
44,,Rejected,,
45,,Rejected,,
46,,Rejected,,
47,,Accepted,3.83,
48,,Rejected,,
49,,Rejected,3.74,
50,,Accepted,3.71,
51,,Accepted,,
52,,Rejected,,
53,,Rejected,3.63,
54,,Rejected,3.88,
55,,Interview,3.91,
56,325.0,Interview,4.00,4.5
57,,Rejected,,
58,,Accepted,3.88,
59,,Rejected,3.68,
60,,Interview,,
61,,Wait,,
62,,Accepted,,
63,,Accepted,,
64,,Accepted,3.91,
65,,Rejected,,
66,,Accepted,,
67,,Accepted,4.00,
68,,Accepted,4.00,
69,,Interview,3.82,
70,,Accepted,,
71,,Accepted,3.86,
72,,Accepted,,
73,320.0,Accepted,,5.0
74,,Rejected,3.77,
75,,Interview,3.77,
76,324.0,Rejected,3.90,3.5
77,,Accepted,3.77,
78,,Wait,,
79,,Accepted,3.77,
80,,Accepted,3.77,
81,,Interview,,
82,,Accepted,3.60,
83,,Rejected,3.71,
84,,Accepted,4.00,
85,312.0,Accepted,2.18,4.0
86,,Accepted,3.71,
87,,Rejected,3.95,
88,,Rejected,4.00,
89,,Rejected,,
90,,Wait,,
91,,Accepted,,
92,,Rejected,3.63,
93,,Accepted,,
94,,Accepted,,
95,,Accepted,,
96,,Rejected,,
97,325.0,Accepted,3.90,
98,,Wait,3.85,
99,,Rejected,3.60,
100,,Rejected,3.78,
101,,Wait,3.84,
102,,Wait,,
103,,Accepted,4.00,
104,,Interview,,
105,,Accepted,,
106,,Accepted,,
107,,Accepted,3.95,
108,,Wait,,
109,,Accepted,4.00,
110,,Rejected,3.90,
111,329.0,Wait,4.00,4.0
112,338.0,Accepted,3.80,4.5
113,,Accepted,3.30,
114,,Interview,3.94,
115,,Accepted,3.64,
116,,Accepted,,
117,,Wait,,
118,,Accepted,3.92,
119,320.0,Interview,3.72,5.5
120,,Rejected,,
121,,Rejected,,
122,,Accepted,3.80,
123,,Interview,2.90,
124,,Accepted,,
125,,Accepted,,
126,,Interview,,
127,,Rejected,4.00,
128,,Rejected,3.36,
129,,Accepted,,
130,330.0,Interview,4.00,5.0
131,,Accepted,4.00,
132,,Accepted,,
133,,Interview,3.67,
134,,Interview,,
135,,Accepted,,
136,,Interview,,
137,,Accepted,3.70,
138,,Rejected,3.76,
139,,Rejected,3.58,
140,,Rejected,,
141,,Rejected,3.83,
142,,Rejected,3.95,
143,,Accepted,4.00,
144,,Rejected,,
145,,Rejected,,
146,319.0,Interview,3.85,5.0
147,,Rejected,,
148,,Accepted,3.90,
149,,Rejected,3.99,
150,,Interview,,
151,,Accepted,3.80,
152,,Rejected,4.00,
153,,Rejected,3.92,
154,,Interview,3.91,
155,323.0,Rejected,3.80,
156,,Rejected,,
157,,Rejected,3.96,
158,,Accepted,,
159,,Rejected,3.84,
160,,Accepted,3.35,
161,,Rejected,4.00,
162,,Interview,3.98,
163,,Rejected,3.85,
164,332.0,Rejected,3.92,4.0
165,,Wait,,
166,,Accepted,3.98,
167,329.0,Accepted,3.94,4.5
168,,Interview,,
169,323.0,Rejected,4.00,4.5
170,,Rejected,3.95,
171,,Accepted,,
172,,Rejected,,
173,324.0,Accepted,4.00,4.0
174,,Accepted,3.93,
175,,Accepted,,
176,,Accepted,,
177,329.0,Accepted,3.99,4.5
178,,Rejected,3.81,
179,,Rejected,3.97,
180,,Rejected,,
181,,Rejected,,
182,,Rejected,,
183,,Rejected,,
184,,Rejected,,
185,,Accepted,,
186,,Accepted,3.98,
187,,Accepted,3.94,
188,,Rejected,3.66,
189,,Rejected,,
190,,Rejected,4.00,
191,,Rejected,,
192,,Accepted,,
193,,Interview,3.80,
194,,Interview,3.90,
195,,Interview,,
