,School Name,School Loc,Acc Rate,Rej Rate,Int Rate,School City,State
0,Adelphi University,"Garden City, NY",0.4876943005181347,0.3471502590673575,0.09326424870466321,Garden City, NY
1,American University,"Washington, DC",0.4033195020746888,0.269432918395574,0.2661134163208852,Washington, DC
2,Andrews University,"Berrien Springs, MI",0.3871359223300971,0.42961165048543687,0.007281553398058253,Berrien Springs, MI
3,Arizona State University--Tempe,"Tempe, AZ",0.3837263060564031,0.35043920480813684,0.009246417013407305,Tempe, AZ
4,Ashland University,"Ashland, OH",0.40614886731391586,0.46197411003236244,0.007281553398058253,Ashland, OH
5,Auburn University,"Auburn, AL",0.43521341463414637,0.4214939024390244,0.01676829268292683,Auburn, AL
6,Azusa Pacific University,"Azusa, CA",0.4639321074964639,0.36775106082036774,0.002828854314002829,Azusa, CA
7,Ball State University,"Muncie, IN",0.26857142857142857,0.15571428571428572,0.5242857142857142,Muncie, IN
8,Baylor University,"Waco, TX",0.4696969696969697,0.3648989898989899,0.07133838383838384,Waco, TX
9,Benedictine University,"Lisle, IL",0.4405594405594406,0.493006993006993,0.0,Lisle, IL
10,Binghamton University--SUNY,"Binghamton, NY",0.4268774703557312,0.3922924901185771,0.116600790513834,Binghamton, NY
11,Biola University,"La Mirada, CA",0.4196969696969697,0.43333333333333335,0.016666666666666666,La Mirada, CA
12,Boston College,"Chestnut Hill, MA",0.3892116182572614,0.34921161825726144,0.06937759336099585,Chestnut Hill, MA
13,Boston University,"Boston, MA",0.4235080602113804,0.3444005551403865,0.030425963488843813,Boston, MA
14,Bowling Green State University,"Bowling Green, OH",0.3667621776504298,0.1766953199617956,0.3390639923591213,Bowling Green, OH
15,Brandeis University,"Waltham, MA",0.38407699037620296,0.21937882764654418,0.2679352580927384,Waltham, MA
16,Brigham Young University--Provo,"Provo, UT",0.4166666666666667,0.35648148148148145,0.041666666666666664,Provo, UT
17,Brown University,"Providence, RI",0.40381241027277076,0.30866166852767585,0.03652895198596268,Providence, RI
18,California Institute of Technology,"Pasadena, CA",0.3172569706103994,0.29125847776940467,0.006970610399397136,Pasadena, CA
19,California State University--Fresno,"Fresno, CA",0.4010416666666667,0.53125,0.0026041666666666665,Fresno, CA
20,California State University--Fullerton,"Fullerton, CA",0.43243243243243246,0.4720720720720721,0.021621621621621623,Fullerton, CA
21,Carnegie Mellon University,"Pittsburgh, PA",0.384949223157712,0.25865810259526084,0.19355958684142002,Pittsburgh, PA
22,Case Western Reserve University,"Cleveland, OH",0.3760732684602175,0.24327418431597023,0.01659988551803091,Cleveland, OH
23,Central Michigan University,"Mount Pleasant, MI",0.40247495580436066,0.48556275780789626,0.016499705362404242,Mount Pleasant, MI
24,Clark University,"Worcester, MA",0.2746344564526383,0.19516846789574063,0.4863318499682136,Worcester, MA
25,Clarkson University,"Potsdam, NY",0.3425480769230769,0.38341346153846156,0.002403846153846154,Potsdam, NY
26,Clemson University,"Clemson, SC",0.4049964813511612,0.4166080225193526,0.03518648838845883,Clemson, SC
27,College of William & Mary,"Williamsburg, VA",0.4246575342465753,0.35542391706775267,0.08034061458718993,Williamsburg, VA
28,Colorado School of Mines,"Golden, CO",0.42702667278327544,0.4105773641785176,0.024772265548201063,Golden, CO
29,Colorado State University,"Fort Collins, CO",0.36970954356846475,0.3979253112033195,0.004564315352697096,Fort Collins, CO
30,Columbia University,"New York, NY",0.41098272597287167,0.3589287784519071,0.11573984619546315,New York, NY
31,Cornell University,"Ithaca, NY",0.3881575469204335,0.33132434575733544,0.07882632831086439,Ithaca, NY
32,Dallas Baptist University,"Dallas, TX",0.3782696177062374,0.5231388329979879,0.004024144869215292,Dallas, TX
33,Dartmouth College,"Hanover, NH",0.243509272467903,0.16262482168330955,0.3651925820256776,Hanover, NH
34,DePaul University,"Chicago, IL",0.4444444444444444,0.3675981370592149,0.1081170991350632,Chicago, IL
35,Drexel University,"Philadelphia, PA",0.4515181194906954,0.41576885406464253,0.011263467189030362,Philadelphia, PA
36,Duke University,"Durham, NC",0.3631427000274952,0.3515947209238383,0.08172944734671432,Durham, NC
37,Duquesne University,"Pittsburgh, PA",0.4433887569279493,0.28820269200316706,0.19714964370546317,Pittsburgh, PA
38,East Carolina University,"Greenville, NC",0.49707602339181284,0.41854636591478694,0.04594820384294068,Greenville, NC
39,Edgewood College,"Madison, WI",0.43798368542145993,0.44425852332148086,0.04873457435682912,Madison, WI
40,Emory University,"Atlanta, GA",0.32056451612903225,0.28046594982078854,0.015008960573476702,Atlanta, GA
41,Florida Institute of Technology,"Melbourne, FL",0.4027237354085603,0.4474708171206226,0.09533073929961089,Melbourne, FL
42,Florida State University,"Tallahassee, FL",0.422680412371134,0.39847601972209773,0.008292245629762439,Tallahassee, FL
43,Fordham University,"New York, NY",0.40741482965931863,0.33507014028056115,0.014228456913827655,New York, NY
